city_name,state_name,lat,lon,flag
bosiliah,aswan,24.088611,32.898889,approximated
nasr-al-nuba,aswan,23.456111,32.943889,approximated
Assiut,asyut,27.178312,31.185926,approximated
tod,luxor,25.680556,32.481667,approximated
Al Qurna,luxor,25.739722,32.601944,approximated
azarita,alexandria,31.205707,29.916256,approximated
al-hadrah,alexandria,31.200153,29.982331,approximated
seyouf,alexandria,31.251308,29.982331,approximated
nozha,alexandria,31.209547,29.961356,approximated
bahary-anfoshy,alexandria,31.198984,29.883632,approximated
bokla,alexandria,31.234356,29.961753,approximated
gianaclis,alexandria,31.215642,29.949876,approximated
ras-el-tin,alexandria,31.200102,29.882911,approximated
roushdy,alexandria,31.236512,29.958874,approximated
saba-pasha,alexandria,31.229874,29.952441,approximated
san-stefano,alexandria,31.245984,29.966771,approximated
sporting,alexandria,31.215321,29.942115,approximated
stanley,alexandria,31.230664,29.953517,approximated
smouha,alexandria,31.208917,29.940692,approximated
sidi-gaber,alexandria,31.218487,29.949215,approximated
agami,alexandria,31.089623,29.751872,approximated
kafr abdo,alexandria,31.226734,29.959118,approximated
kom-al-dikka,alexandria,31.200821,29.903542,approximated
loran,alexandria,31.246873,29.971284,approximated
moharam-bek,alexandria,31.196982,29.933441,approximated
raml-station,alexandria,31.200153,29.900274,approximated
mina-al-basal,alexandria,30.149994,31.316673,approximate
abu-swear,ismailia,30.043747,31.229464,approximate
tal-al-kebeer,ismailia,30.54436,31.78521,exactly 
qassaseen,ismailia,30.56099,32.27214,approximate
hurghada,red-sea,30.59649,32.27146,exactly 
el gouna,red-sea,27.2579,33.81161,exactly 
sahl-hasheesh,red-sea,27.39589,33.67872,exactly 
shalateen,red-sea,27.02214,33.89141,approximate
abu-rawash,giza,23.14046,35.58545,empty
haraneya,giza,30.05689,31.02489,approximate
azizia,giza,29.98762,31.146186,exactly 
omrania,giza,29.78229,31.15396,approximate
pharaonic-village,giza,30.00611,31.18765,approximate
kit-kat,giza,30.00414,31.2136,approximate
moneeb,giza,30.066979,31.21342,approximate
haram,giza,29.98701,31.135735,approximate
warraq,giza,30.10106,31.20925,approximate
bani-salamah,giza,29.82911,31.12098,approximate
tersa,giza,30.01649,31.15784,approximate
dahab-island-and-coldair,giza,30.09318,31.2059,approximate
hadayek-al-ahram,giza,29.97253,31.10533,approximate
giza-district,giza,30.00808,31.21093,approximate
souk-al-ahad,giza,29.96017,31.15241,approximate
west-somid,giza,29.9635,31.03786,approximate
markaz-al-giza,giza,30.01306,31.20885,approximate
maryotaya,giza,29.97157,31.15295,approximate
wardan,giza,30.21583,30.99972,approximate
gamasa,dakahlia,31.449722,31.211944,approximate
menyet-al-nasr,dakahlia,31.300833,31.245278,approximate
ganayen,suez,29.930278,32.549722,approximate
arbaeen,suez,29.966389,32.547778,approximate
ataka,suez,29.871944,32.318889,approximate
qutur,gharbia,30.971667,30.952222,exactly 
helmeya-al-gadeda,cairo,31.491667,31.313611,approximate
darrasa,cairo,30.047222,31.262778,approximate
ataba,cairo,30.054722,31.246111,exactly 
First-Settlement,cairo,30.030278,31.491667,approximate
andalus,cairo,30.019722,31.505833,approximate
fifth-settlement,cairo,30.0280556,31.475556,approximate
lotus,cairo,30.021944,31.493056,approximate
rehab-city,cairo,30.062778,31.491389,approximate
Shoubra,cairo,30.087222,31.246944,approximate
mounira-al-gadeda,giza,30.020833,31.215833,approximate
nozha-cairo,cairo,30.091667,31.34,approximate
ramses,cairo,30.062778,31.246111,approximate
izbat-an-nakhl,cairo,30.14999,31.31667,approximate
qasr-al-nil,cairo,30.04375,31.22946,approximate
shorouk,cairo,30.14498,31.63991,approximate
Badr,cairo,30.136,31.715,approximate
heliopolis,cairo,30.1,31.333,exactly 
downtown-cairo,cairo,30.0475,31.2385,approximate
khanka,qalyubia,30.21035,31.36812,exactly 
zawya-el-naggar,qalyubia,30.25296,31.20587,approximate
bagour,menoufia,30.43328,31.05686,exactly 
berket-al-sabaa,menoufia,30.62856,31.07294,approximate
mit-el-ezz,menoufia,30.51901,31.01822,approximate
adwa,minya,30.68473,30.94187,approximate
mut,new-valley,25.48712,28.98658,approximate
ganoub-district,port-said,31.24902,32.28909,approximate
sharq-district,port-said,31.26604,32.30012,approximate
dawahy-district,port-said,31.25798,32.26988,approximate
arab-district,port-said,31.25504,32.29491,approximate
manakh-district,port-said,31.26001,32.28504,approximate
saro,dameitta,31.473,31.75893,approximate
faraskur,dameitta,31.32747,31.71647,exactly 
kafr-al-bateekh,dameitta,31.30696,31.828,approximate
kafr-saad,dameitta,31.353,31.69298,approximate
mit-abughalb,dameitta,31.36097,31.77099,approximate
dar-es-salam,sohag,26.5924,31.69713,approximate
sakaltah,sohag,26.49997,31.79998,approximate
sohag,sohag,26.55691,31.6948,approximate
rafah,north-sinai,31.28264,34.23869,approximate
abu-tisht,qena,26.1186,32.05672,approximate
shna,qena,26.14003,32.02996,approximate
qena,qena,26.15506,32.71612,exactly 
kafr-al-sheikh,kafr-el-sheikh,31.11174,30.93902,exactly 
nagela,matruh,31.15899,27.13398,approximate
