city_name,state_name,city_name_in_arabic
abou-al-reish,aswan,ÇÈæ ÇáÑíÔ
abou-simbel,aswan,ÇÈæ ÓãÈá
edfu,aswan,ÇÏİæ
basiliah,aswan,ÇáÈÕíáíÉ
rdesiah,aswan,ÇáÑÏíÓíÉ
sebaeiah,aswan,ÇáÓÈÇÚíÉ
daraw,aswan,ÏÑÇæ
sahara,aswan,ÕÍÇÑì
kalabsha,aswan,ßáÇÈÔÉ
kom-ombo,aswan,ßæã ÇãÈæ
aswan-city,aswan,ãÏíäÉ ÃÓæÇä
nasr-al-noba,aswan,äÕÑ ÇáäæÈÉ
abnub,asyut,ÃÈäæÈ
abu-teeg,asyut,ÃÈæ ÊíÌ
new-assiut,asyut,ÃÓíæØ ÇáÌÏíÏÉ
badari,asyut,ÇáÈÏÇÑì
ghanayem,asyut,ÇáÛäÇíã
fateh,asyut,ÇáİÊÍ
qusiya,asyut,ÇáŞæÕíå
dairut,asyut,ÏíÑæØ
sahel-selim,asyut,ÓÇÍá Óáíã
sedfa,asyut,ÕÏİÇ
asyut-city,asyut,ãÏíäÉ ÃÓíæØ
manfalut,asyut,ãäİáæØ
armant,luxor,ÃÑãäÊ
isna,luxor,ÅÓäÇ
bayadeya,luxor,ÇáÈíÇÖíÉ
zinnia,luxor,ÇáÒíäíÉ
tod,luxor,ÇáØæÏ
qurna,luxor,ÇáŞÑäå
luxor-city,luxor,ãÏíäÉ ÇáÃŞÕÑ
abu-qir,alexandria,ÃÈæ ŞíÑ
azarita,alexandria,ÇáÃÒÇÑíØÉ
al-lbrahimiyyah,alexandria,ÇáÅÈÑÇåíãíÉ
alexandria,alexandria,ÇáÅÓßäÏÑíÉ
gomrok,alexandria,ÇáÌãÑß
al-hadrah,alexandria,ÇáÍÖÑÉ
dekheila,alexandria,ÇáÏÎíáÉ
seyouf,alexandria,ÇáÓíæİ
salehia,alexandria,ÇáÕÇáÍíÉ
dhahria,alexandria,ÇáÙÇåÑíÉ
amreya,alexandria,ÇáÚÇãÑíÉ
asafra,alexandria,ÇáÚÕÇİÑÉ
attarin,alexandria,ÇáÚØÇÑíä
awayed,alexandria,ÇáÚæÇíÏ
kabbary,alexandria,ÇáŞÈÇÑí
labban,alexandria,ÇááÈÇä
maamoura,alexandria,ÇáãÚãæÑÉ
el-max,alexandria,ÇáãßÓ
montazah,alexandria,ÇáãäÊÒå
mandara,alexandria,ÇáãäÏÑÉ
manshiyya,alexandria,ÇáãäÔíÉ
nakheel,alexandria,ÇáäÎíá
nozha,alexandria,ÇáäÒåÉ
wardian,alexandria,ÇáæÑÏíÇä
bacchus,alexandria,ÈÇßæÓ
bahray-anfoshy,alexandria,ÈÍÑì æÇáÃäİæÔì
